t+1,t+2,t+3,t+4,t+5,t+6,t+7,t+8,t+9,t+10,t+11,t+12,t+13,t+14,t+15,t+16,t+17,t+18,t+19,t+20,t+21,t+22,t+23,t+24,t+25,t+26,t+27,t+28,t+29,t+30
4.727014585753491205e-01,2.108743178342597710e-02,2.520174070540415756e-01,-5.917261358497812873e-01,-7.403080975789443352e-01,1.405854903999328664e+00,1.745450738465991192e+00,-8.782724338794151153e-01,4.093096723678772975e-01,-1.298332988043643388e+00,2.852265085915195800e-02,9.545635700295752590e-01,6.181947047276814544e-01,-2.943488794967712152e-02,-1.927718466933518782e+00,3.711590192300093238e-02,-8.276089703496987138e-01,-1.953433217415078804e+00,-3.611078788848781862e+00,7.153715824530414436e-01,-1.088044248514124179e+00,-2.081351761563351666e+00,-1.206650896753118929e-01,-3.520711789031719108e-01,-2.526528910259430827e+00,-1.305549450146585411e+00,1.217261287912185574e+00,-7.214536193620935123e-01,1.253805138511547623e+00,4.900085864374293387e-01
-2.880016731907528715e-01,5.380618174625908523e-01,-1.243509562355383236e-01,1.650753444781295765e-01,1.965121051569180821e-01,-1.747058355534953089e-01,9.663754229831099662e-01,4.385471945432986574e-01,-7.455516573238309130e-02,2.973089208091942229e-02,9.227318026371195137e-02,3.150362093195551716e-01,3.003298151693199469e-01,-5.965148552854380309e-02,-1.124512468936316734e-01,-1.035608054184428584e+00,-1.672929807003389613e-01,-2.456217375513042867e-01,-5.080309590189967077e-03,-1.496250475991794116e-01,-4.429055727852429514e-01,-9.354387887644217692e-01,1.237897191748674741e+00,-1.364666839188145131e+00,9.430995665728159061e-02,-1.539146499933068402e+00,2.164603142672757996e-01,6.889947750526326242e-01,7.592072899614318304e-01,-2.049923787877715176e-01
-7.586909116060605029e-01,6.439516786827923500e-01,1.355057516559959874e-01,3.671077572055959637e-01,5.011323575666969399e-01,1.410909673274894360e-01,-2.154065795452100862e-02,3.293625922078336488e-01,-7.686547818911485669e-03,-5.172106380666012804e-01,-5.619036190612584081e-01,7.354479805998137554e-01,3.870167502971480489e-01,-1.375498190295965095e-01,-3.985625582818707047e-01,5.487458451099137546e-01,2.484686253431517000e-01,-1.605961680675457304e-01,3.271295123943886440e-01,-4.883413355483933183e-01,1.577086287450485957e-01,-1.280340428490685190e+00,1.319535605038356652e-01,8.280702290427745249e-02,5.214093916547845042e-01,-6.341509004310005304e-01,2.754568840253855400e-01,-1.099974374836448332e+00,-4.669583620871403662e-01,-9.323277703796295501e-01
3.248702587916268980e-01,-1.618886887420291354e-01,-1.366266686005447539e+00,-5.009927699800387907e-02,-1.015570770680887108e-01,-1.213301820525309660e+00,1.371039178584022800e+00,-5.973499571160973964e-01,-6.597703382840391928e-02,-1.965026466983930686e-01,-5.224652272651957308e-01,4.216718597629951493e-01,-2.611886657451784055e-01,-1.348133818266755268e+00,-2.751697868733575247e-01,-4.966316078792529232e-01,4.059906929539747189e-01,6.208802324206347950e-02,-1.767207557907982118e-01,-1.426450321972892565e+00,1.318478827128401476e-01,-8.246489202377571548e-01,1.229437846862934336e+00,-1.891914628862142012e+00,1.642090891105954187e+00,1.442662457759315231e+00,4.020705501356178768e-01,4.804583366090951074e-02,5.387618695522792267e-01,-6.088591588812188871e-01
-2.714485827198755419e-01,-2.812508008144960492e-01,1.080582891617894337e+00,9.950377768827158853e-01,4.820066547092045212e-02,-7.294707790699577199e-01,-1.931686520590340406e+00,-2.577531697924859144e-01,-1.034891982187285731e+00,-6.990280119612216625e-01,6.742901675091766966e-01,-7.799316293456659555e-02,2.025350841545091041e-01,-3.211783655467306264e-01,2.947999694195949094e-01,-3.539335378099124907e-01,-1.923820090941089633e+00,-5.493795055383767778e-01,-2.835533272379760383e+00,-1.389841665055765729e-01,1.632670828201425506e+00,1.421802037004227470e+00,-1.335898182185170979e+00,-5.108292955258626478e-01,3.588371077725289182e-01,-1.662965138844207047e+00,-1.815410339965806363e+00,2.297939708717915419e+00,-3.148297608020682592e+00,1.820930825249314600e+00
1.455698565276820067e-01,5.423684674819100049e-02,3.169081861261243693e-01,4.527368619488321422e-02,-9.469852710576712740e-01,4.240113022333677484e-01,-2.855632527048071467e-01,-4.165226611450048577e-01,7.987200045995133113e-01,-1.151547161663268204e+00,-2.573609798276502714e-01,-3.621741126955280166e-01,-8.274194113704151921e-01,-9.315932367791006641e-01,1.369560594858711122e-01,-4.684425558922628574e-01,-2.157027422235448633e+00,1.118928475600619477e+00,1.810956437814728925e+00,2.650804141698672595e-02,4.562809938810549748e-01,-1.112207866989897376e+00,7.496089237003292771e-01,-3.065266117871622287e-01,3.496457305357505430e-01,-4.234930479408781645e-01,7.924600917662076860e-01,-1.152676535362022081e+00,-6.598839338552687783e-01,6.220577654594398043e-01
-4.034925759811851947e-02,3.395553224802801140e-02,7.410657274030802988e-01,-8.912393876693255335e-01,-3.298290857953136701e-01,9.694944810984090777e-01,2.049160056789410822e-01,-1.788490344550931477e+00,8.970230401314243096e-01,-7.343322878434810352e-02,-1.034952012175070157e+00,-3.583369946987287502e+00,1.601071471417331082e+00,-7.912241553465102720e-04,-3.569210226232653188e-02,4.155547265881351371e-01,1.499256634091707396e-01,-1.675049627992262646e+00,-9.686531785234426817e-01,6.694560264393104587e-01,5.610665832277518250e-01,8.308261621733353808e-01,3.847543999093021583e-01,-1.677831809354089487e-01,1.019275718200507885e+00,3.549931041797498854e-01,-9.508203444597081166e-02,2.275040305244409589e-01,4.867955528055391556e-01,-7.264555107633001441e-02
-5.256937625540504533e-02,-5.940522411660226210e-02,5.937682168411141381e-01,-1.157195611169513222e-01,-1.835055141423024005e-01,2.317796038731493868e-01,4.826607789594292708e-01,-6.938659094402355176e-01,6.057038220908949055e-01,-4.184845638261320833e-01,-1.237668028164619766e-01,-1.171045759132379876e-01,2.973348071180634267e-01,6.967578197229212789e-01,2.644319420277928545e-01,5.067441490140324190e-01,-4.416434244260075692e-01,-2.937033607358667808e-01,-6.732600205976384533e-01,-3.529507357079695457e-02,7.152716515805193076e-01,-5.346046843484943967e-01,-1.426758023168611389e-01,2.437641174835133984e-01,-5.662385226434293317e-01,5.821018532329736983e-01,7.982676924734000146e-02,3.299283035129545183e-02,-9.696392692016508885e-02,2.494592839138828066e-01
3.054781244760741699e-02,7.525729043471852675e-01,-8.640013762477355419e-01,2.871778880241928622e-01,-6.000706019196129226e-01,1.550284803618638130e-01,5.380892716534326770e-01,2.509357655330746728e-01,-1.052013749596013792e+00,-1.474642134130568216e+00,6.377284508420216769e-01,3.524868224129704686e-01,8.589980925120238586e-01,-1.517427126146817795e-01,4.251572318216097490e-01,3.092270871534461563e-01,-3.416724425817233013e-01,-6.287990602700529452e-01,7.421253043303228658e-01,7.769625881340991302e-01,8.613133562373166408e-01,4.860626569278913012e-01,-5.268842204731123413e-01,6.815377165700784445e-01,-2.613180458527792904e-01,1.909613709962651174e-01,-4.741688986109310333e-01,-6.065857613081210298e-01,-1.015241570650257330e+00,2.362346269844484981e-01
-8.892580407510836116e-01,2.053880569668113665e-01,1.951920558496436642e-01,7.245229992515228590e-01,4.509361214865466594e-01,-4.965620195451992958e-01,-5.007481537351732293e-02,-7.210506530461768815e-02,-4.058080183671558538e-02,4.405573356074669045e-01,7.891056006994123795e-02,4.126560761958421031e-01,4.900712963353827112e-01,-2.961501141190751168e-02,-1.495108536492025797e-01,1.475269799335455437e-03,1.223909933760732593e-01,-9.805695479735662135e-01,4.042768010705937720e-01,-5.356738493987858174e-01,6.005912085776953235e-01,1.248088976608367207e-01,8.343922888583742425e-01,3.642201539985549519e-01,-9.282692725977600978e-02,3.420289791839067339e-01,8.172509283286333304e-01,1.311652964775737784e+00,4.414650807352487605e-01,-1.772735765934825847e-01
